1,2,3-三甲苯	偏三甲苯；1,2,3-三甲苯 
理想氣體方程式	理想氣體狀態方程
理想溶液	理想溶液 
銦錫氧化物	铟錫氧化物
誘發偶極	誘導偶極 
惰性電極	惰性電極 
惰性氣體	惰性氣體
紅外線	紅外光譜法
英格冉	英格拉姆
抑制劑　	阻聚劑，抑制劑 
初態	初態
初始速率法	起始速率法
內殼層	內殼層
內過渡元素	內過渡元素 
無機鹽	無機鹽
積體電路	集成電路
國際單位制	國際單位制 
國際純化學暨應用化學聯合會	國際純粹與應用化學聯合會；IUPAC
填隙式合金	填隙式合金 
轉化	反轉，倒反
碘	碘,  碘酒
碘值	碘值 
碘乙烷	碘乙烷
碘甲烷	碘甲烷，碘代甲烷
離子交換 	離子交換
離子積　　	離子積
離子積常數	離子積常數
離子交換樹脂	離子交換樹脂
離子鍵	離子鍵 
離子化合物	離子化合物
離子晶體	離子晶體
離子方程式	離子方程式
離子半徑	離子半徑 
遊離能	電離能 
遊離層	電離層 
同重素	同量異位素 
異丁烷	異丁烷
等電子離子	等電子離子
異麥芽寡醣	低聚異麥芽糖
異構物	異構體
異構物	同分異構體
異構化	異構化 
類質同形體	同形體 
異戊烷	異戊烷
異丙醇	異丙醇
同位素	同位素
焦耳	焦 
焦耳	焦耳
開	克拉
卡爾　　	卡利
克古列	凱庫勒，克古列
克耳文	開爾文
克氏溫度	開氏溫度，絕對溫度
克氏溫標	凱氏溫標 ; 絕對溫標
角蛋白	角蛋白 
酮類	酮類
克維拉{纖維}	纖維B
千焦	千焦（耳）
克希何夫	克希荷夫
震爆	爆震
科羅托	克羅托
氪	氪
乳糖	乳糖 
乳糖不耐症	乳糖不耐受 
拉格朗日	拉格朗日
朗謬	朗缪爾
鑭係元素	镧係元素
鑭係	镧係元素
拉普拉斯	拉普拉斯
晶格	晶格
拉瓦節　  	拉瓦錫
查-給定律   	查爾斯和蓋·呂薩克定律
氣體化合體積定律	氣體化合體積定律
質量守恆定律	質量守恒定律 
反應熱加成定律	熱總量不變定律
定比定律	定比定律
質量作用定律	質量作用定律 
倍比定律	倍比定律
八度律	八行周期律
分壓定律	分壓定律，道爾頓定律
勒沙特列　　　	勒沙特列
勒沙特列原理	勒沙特列原理
鉛室法	鉛室法
鉛蓄電池	鉛蓄電池
鉛酸電池	鉛酸電池
加鉛汽油	加鉛汽油
勒克朗社	勒克朗謝
勒克朗社電池	勒克朗謝電池
致死量	致死劑量 
路易斯	路易斯
路易斯結構	路易斯結構 
李比希　    	李比希
配位子	配體 
發光二極體	發光二極管 
輕質油	輕油
同類互溶	相似相溶
限量反應物	限制反應物
限量試劑	限量試劑
線光譜	線(狀)光譜,  線(狀)譜
親脂性	親脂性
液化性壞死　 	液化性壞死
液化石油氣	液化石油氣
液體	液體 
液晶	液晶 
液態	液態
液晶顯示器	液晶顯示器
液化天然氣	液化天然氣
液化石油氣	液化石油氣
鋁氫化鋰	氫化鋁锂
鋰電池	锂電池
鋰電池	锂電池 
鋰離子電池	锂離子電池
鋰二氧化錳電池　     	锂二氧化錳電池
鋰聚合物電池　   	锂聚合物電池
石蕊　 	石蕊
石蕊試紙	石蕊試紙
倫敦	倫敦
倫敦分散力	倫敦分散力
