1,2,3-三甲苯	偏三甲苯；1,2,3-三甲苯 
乾燥爐	幹燥箱
D 型鍋爐	D型鍋爐
兩段式離合器，雙離合器	雙作用離合器
雙輪	雙式車輪
雙燃料引擎	雙燃料發動機
導管風扇	管道輸送通風機
均衡活塞	平衡活塞
倒垃圾	自卸車；翻鬥車
雙缸泵	雙聯泵
副本	複制圖
耐久性	耐久性
集塵機	收塵設備；集塵器
能率	凝汽器熱負荷
照射目標時間	停頓時間
放大濾計	倍率計
動態均衡試驗機	動平衡機
動力特性	動態特性
動態結合	齒齧式聯接
動力負載	動載荷
動態測量	動態測量
動態相似	動力相似
動態剛性	動剛度
動態係統	動態係統
動試驗	動載試驗
動態不均衡	動不平衡
動黏滯性	動力黏度
大地電阻計	接地電阻表
偏心泵	偏心軸泵
偏心度	偏心距
省煤器	經濟器；省煤器
渦流	渦流
渦流擴散	渦流擴散
邊緣效應	邊緣效應
流線式過濾機	縫隙式濾清器
邊緣接合	端接接頭
有效面積	有效面積
有效直徑	有效直徑
有效落差	實際能頭
有效長度	有效長度
有效阻力	工作阻力
有效跨距	有效量程
有效衝程	有效行程
有效張力	有效拉力
有效寬度	有效寬度
效率	效率
效率試驗	效率試驗
彈射	脫模
彈射器	頂出器；噴射器；推料裝置
彈性聯結器	彈性聯接
彈性衝擊	彈性碰撞
彈性支座	彈性支承
電致動器	電動執行機構
電熱鍋爐	電加熱鍋爐
電動起重機	電動起重機
電偶層	雙電層
電鑽	電鑽
電力驅動	電氣傳動
電扇	電動風扇
電動磨機	電動砂輪機
電熱器	電加熱器
電熱	電加熱
電動弔車	電動葫蘆
電喇叭	電喇叭
電增濕器	電熱式加濕器
電感應電爐	感應電爐
電動鑿岩機	電動鑿岩機
電振動器	電動振動器
電測定儀器	電工測量儀器儀表
電極	電極
電熔接條夾把	焊鉗
電極電位	電極電位
電鑄	電鑄
電動液壓制動裝置	電液執行機構
電解質	電解質
電解電池	電解池
電蝕	電解腐蝕
電解研磨	電解磨削
電解加工法	電解加工
電磁體	電磁吸盤
電磁煞車	電磁制動器
電磁夾頭	電磁吸盤
電磁離合器	電磁離合器
電磁儀器	電磁係儀表
電磁波發生器	電磁式波發生器
靜電計	靜電計
電子束熔接	電子束焊
電子槍	電子槍
電子顯微鏡	電子顯微鏡
電子控制單元	電子控制器；電子控制單元
電泳	電泳；電泳法
電鍍	電鍍
驗電器	驗電器
電熱熔碴焊接	電渣焊
靜電引動器	靜電激勵器
靜電儀器	靜電係儀表
靜電透鏡	靜電透鏡
基本功	微元功
正視圖	立面圖
電梯	提升機
消除器	氣液分離器
太平門	安全門
太平門	緊急出口
緊急調速器	危急保安器
乳化	乳化
乳化機	乳化劑
乳化劑	乳化劑
集體運送機	埋刮板輸送機
圍蔽	罩殼
輪鞍（端承架）	端梁
柱端情況	終參數
端銑刀	立銑刀
端板	平端蓋；端板
反應終點	篩分終點
持久試驗	耐振試驗；耐久性試驗
能位	能級
接合	齧合
引擎體	機體
引擎排氣量	發動機排量
轉速	發動機轉速
引擎排氣量	發動機排量
恩氏黏度	恩格勒黏度
環境條件	環境條件
環境測試	環境試驗
外燼	外擺線
平衡	力平衡
等值比	當量比
等效力	等效力
等效力係	等效力係
等效負載	當量載荷
等效質量	等效質量
等效力矩	等效力矩
等效慣性矩	等效轉動慣量
等值應變	等效應變
沖蝕	熔蝕
電扶梯	自動扶梯
擒縱器	擒縱機構
乙醇	乙醇
共晶組織	共晶組織
共析組織	共析組織
蒸發率	蒸發率；蒸發速率
蒸發凝結器	蒸發式冷凝器
蒸發冷卻	蒸發冷卻
蒸發器	蒸發器
掘鑿機	挖掘機
過量空氣	過量空氣
過量空氣係數	過量空氣係數
勵磁	激發；激勵；擠壓；擠壓成形
排氣通道	排氣缸
排氣導管	排氣道
排氣汙染	排氣排放物
排氣溫度	排煙溫度
排氣罩	排汽缸
排氣線	排氣管路
排氣歧管	排氣歧管
排氣管係	排氣總管
排汽	排汽
排汽輪機	乏汽輪機
排氣溫度	排氣溫度
排氣閥	排氣門
排氣機	排粉風機
擴張器	膨脹機
膨脹室	膨脹腔
脹縮結頭	膨脹節
膨脹環	脹圈
膨脹箱櫃	膨脹水箱
膨脹式渦輪機	透平膨脹機
爆炸銲	爆炸焊
爆炸成形	爆炸成形
伸長計	引伸計
外齒輪	外齒輪
外螺紋	外螺紋
消耗係數	消光係數
環首螺栓	活節螺栓
面	前面
面板	轉盤；面板
面砂	面砂
故障保安	失效保護
損壞	失效；故障
故障率	失效率
風扇	通風機
風扇整流罩	風扇罩
風扇效率	通風機效率
風車	風扇磨煤機
風扇	風機
結件	緊固件；止鎖件；卡扣
疲勞	疲勞
疲勞破裂	疲勞裂紋
疲勞損傷	疲勞損傷
疲勞損壞	疲勞破裂
疲勞破壞	疲勞斷裂
疲勞壽命	疲勞壽命
疲勞限界	疲勞極限
抗疲勞性	抗疲勞性
疲勞強度	疲勞強度
疲勞試驗	疲勞試驗
疲勞試驗機	疲勞試驗機
缺點	故障
故障診斷	故障診斷
活鍵	滑鍵
順槳	順槳
進刀	推進器
進給箱	進給箱
進給管路	供給管路
進刀機構	進給機構
進給運動	進給
進給率	進給量
進給速率	進給速度
給水	給水
給水加熱器	給水加熱器
給水溫度	給水溫度
回授路徑	反饋通道
進給器	供料器；給料機械；給料機
供給裝置	供料裝置
測隙片	塞尺
凹圓錐	錐孔管座
擋泥板	擋泥板
肥粒鐵	鐵素體
磁場控制	磁場控制
視野	視野
現場試驗	外場試驗
銼	锉刀
緯紗	裝粉量
內圓角	齒根過渡曲面
內圓角半徑	齒根圓角半徑
填角熔接	角焊縫
填料	上水
薄膜	塗膜
膜狀沸騰	膜態沸騰
過濾器，濾波器，過濾盤	濾光片；濾光裝置；濾清器；過濾器
過濾網	濾光室
濾芯	濾芯
空氣清潔器	空氣濾清器濾芯
最後驅動	主減速器；最終傳動
精密搪床	精镗床
精切削	光整加工
火管鍋爐	火管鍋爐
銀點	白點
配合	配合
固定軸線面	定瞬軸面
固定中心	固定頂尖
固定極心線	定瞬心線
固定模	定型
固定桿	固定構件
固定支點	固定支承
片狀石墨	片狀石墨
火焰切割機	火焰切割機
火燄探測器	火焰檢測器
火燄硬化	火焰淬火
火燄噴射	火焰噴塗
凸緣	法蘭；翻邊
凸緣聯結器	凸緣聯軸器
齒腹	牙側；後面
螺紋腹角	牙側角
轉板	墊帶
舌閥	翻板閥
擋葉	鎖氣器
閃光	閃蒸現象；閃鍍
閃電熔接	閃光對焊
回閃	回火
閃爍器	閃光器
模箱	砂箱
有箱造模法	有箱造型
無箱造模法	無箱造型
平皮帶	平帶
平板螺葉	平面葉片
平頭鉚釘	平頭鉚釘
平鍵	平鍵
板片彈簧	片彈簧；平彈簧
柔性轉子	撓性轉子
撓性軸	軟軸
浮動控制	浮動控制
水上起重機	浮式起重機
泛溢潤滑	溢流潤滑
底板	底板
地板	底板面板
地軸承架	底板邊梁
流量係數	流量係數
流量控制閥	流量控制閥
流程圖	流程圖
流型	流型
流動性	流動性
變動負載	變載荷
變動	波動度
煙道氣分析	煙氣分析
流體聯結器	液力偶合器
流體薄膜	流體膜
流體摩擦	流體摩擦
液體潤滑	液體潤滑
流動性	流動性
流體化床	流化床
流化床鍋爐	流化床鍋爐
引水溝	引水室
螢光鏡檢查	熒光透視法
齊平	沖管
顫動	顫振
焊劑	熔劑；焊劑
飛輪	飛輪
起泡沫	泡沫共騰
從動扶架	跟刀架
踏板	踏腳板
底閥	底閥
力多邊形	力多邊形
強制氣冷	強制空氣冷卻
強力通風	正壓通風
壓力通風扇	送風機
強制振動	受迫振動
前傾熔接法	左焊法
林業用曳引機	林業拖拉機
可鍛性	可鍛性
鍛造	鍛造
鍛鎚	鍛錘
壓鍛機	鍛造壓力機
鍛造比	鍛造比
堆高車	叉車
型銑法	銑成形面
形狀公差	形狀公差
可成形性	成形性
格式	圖紙幅面
繞線模	旋壓模
型成	成形；成形加工
前置座艙車	平頭駕駛室
積垢	積灰
底腳螺栓	地腳螺栓
底圈	基礎環
鑄焦	鑄造焦
四衝程循環	四沖程循環
四輪驅動式曳引機	四輪驅動拖拉機
斷裂韌性	斷裂韌性
破片	碎片狀態試驗
框	篩框；車架；框架；機架
框	牽引架
自由活塞壓縮機	自由活塞壓縮機
自由振動	自由振動
自由活塞發動機	自由活塞發動機
冷凍乾燥	冷凍幹燥
凝固	冷凍
氟氯烷	氟裏昂
頻率分析器	頻率分析儀
頻率特性	頻率特性
頻率計	頻率表
頻率響應	頻率響應
頻率響應函數	頻率響應函數
磨耗腐蝕	微動腐蝕
磨耗	微動磨損
摩擦	摩擦
摩擦軔	摩擦制動器；摩擦式制動器
摩擦離合器	摩擦式離合器
摩擦材料	摩擦材料
摩擦板	摩擦片
摩擦熔接	摩擦焊
摩擦輪驅動	摩擦輪傳動
摩擦力	摩擦力
鋒	額線
前輪軸	前軸
前圓錐	前錐
前輪軸	前驅動橋
前視圖	主視圖
前輪	前輪
燃料電池	燃料電池
燃料消耗量	燃料消耗量
燃料消耗量	燃料消耗量
燃料經濟	燃料經濟性；燃油經濟性
主燃油分流控制閥	燃料流量控制閥
燃油噴射	燃料噴射
燃料噴射泵，噴油泵	噴油泵
燃油噴射器	噴油器；燃料噴嘴
燃油進入閥	進油閥
燃料係統	燃油係統
燃料箱	燃油箱
油氣比	燃空比；燃料空氣比
完全退火	完全退火
全模法	實型鑄造
滿載試驗	滿載試驗
基本模態	基本振型
爐	爐膛
爐	爐膽
熔焊	熔焊
熔化區域	熔合區
模糊控制	模糊控制
計	量規
鐵骨	砂鈎
電池	原電池
電流腐蝕	電偶腐蝕
電流計	檢流計
高架	門架
迴轉載人吊運車橋型起重機	帶回轉司機室小車的門式起重機
燃氣器	氣體燃燒器
氣體滲碳	氣體滲碳
氣相色譜儀	氣相色譜儀
氣體色層分離法	氣相色譜法
煤氣機	燃氣發動機；煤氣機
氣體產生器	氣體發生器；燃氣發生器
氣體雷射	氣體激光器
氣體潤滑	氣體潤滑
氣體溫度計	氣體溫度計
燃氣輪機	燃氣輪機；燃氣透平
氣渦輪發動機	燃氣輪機
汽油機	汽油機
汽油泵	汽油泵
門	給料閘門
閘閥	插板閥
閘閥	閘閥
表壓力	表壓；表計壓力
齒輪	齒輪
齒輪箱	變速器
切輪機	齒輪加工機床
齒輪驅動	齒輪傳動
滾齒刀	齒輪滾刀
齒輪滾削	滾齒
滾齒機	滾齒機
齒輪研磨	研齒
齒輪銑製	銑齒
齒輪對	齒輪副
齒輪泵	齒輪泵
齒數比，齒輪比	齒數比；傳動比；齒輪傳動比率
齒輪滾床	擠齒機
齒輪刨製機	插齒機
齒輪刮光機	剃齒機
輪齒分釐卡	公法線千分尺
總圖	總布置圖
演生法	展成法
發電機	發生器
幾何拘束	幾何約束
幾何相似性	幾何相似
填函蒸汽凝結器	軸封冷卻器
閃耀	眩光
玻璃電極	玻璃電極
釉	瓷釉
球閥	截止閥
通過規	過規
測角器	測角儀
隘圓	喉圓
挖溝	氣刨
控制閥	調節汽閥
挖浚機	抓鬥
平土機	平地機
坡度	坡度
顆粒	晶粒；磨粒
晶粒邊界	晶界
顆粒大小	晶粒度；粒度
造粒	制粒
圖表	算圖
石墨	石墨
爐篦	爐排
格柵	光柵
重力注油	重力潤滑
低伸角度	掠射角
濕砂模	濕型
輪磨	磨削
磨輪	砂輪
手柄	抱索器
槽	孔型；坡口；花紋溝
槽角	坡口角度
槽面	坡口面
槽	槽
總落差	毛水頭
毛耗熱率	毛熱耗率
車輛總重	車輛總質量
導軸承	導軸承
導輪葉片	導向葉片
導塊	導塊
導板	路線牌
導軌	導軌
導環	中擋圈；內環
導葉連桿	導葉連杆
導葉	導葉
導輪	導向輪；導輪
膠	膠質
陣風	陣風
簷邊落水溝	鎖圈槽
牽索	纜繩
牽繩	錨拉索
牽線鐵塔	拉索式塔架
迴轉軋碎機	旋回破碎機
遊絲	遊絲
裂紋	發裂
鎚	錘子；錘體
鎚碎機	錘擊磨煤機
手搖泵	手動泵
手絞力	手用鉸刀
手鋸	手鋸
手柄	手柄
扶手	扶手帶
可硬化性	淬透性
淬火能範圍	淬透性帶
硬化劑	固化劑
硬化性能	淬硬性
硬度試驗劑	硬度計
牽引索	牽引索
頭	能頭；封頭
頂部空間	頭部空間
管集箱	集箱；聯箱
航向	頂镦
航向角	汽車方位角
無頭螺釘	無頭螺釘
頭靠	頭枕
熱放射	散熱
熱交換器	換熱器
熱損失	熱損失
熱泵	熱泵
耗熱率	熱耗率
熱釋放率	放熱率
耐熱性	耐熱性
遮熱板	隔熱罩；隔熱板
散熱劑	排熱係統
熱處理	熱處理
熱處理爐	熱處理爐
加熱器	加熱器；暖風裝置
加熱速率	升溫速率
受熱面積	受熱面積
受熱面	受熱面
重金屬	重合金
高度	高度
螺旋齒輪	斜齒輪
螺旋齒條	斜齒條
螺旋彈簧	螺旋彈簧
螺旋線	螺旋線
螺旋角	螺旋角
人字齒輪	人字齒輪
六角頭自攻螺釘	六角頭自攻螺釘
六角螺帽	六角螺母
六角凸緣螺帽	六角凸緣螺母
高壓成形	高壓造型
高矽鑄鐵	高矽鑄鐵
高度真空泵	高真空泵
高頻疲勞	高周疲勞斷裂
高對	高副
高壓渦輪機	高壓透平
坡地曳引機	坡地拖拉機
繫扣	拖挂裝置
連接點	懸挂點
速矢圖	速端圖
吊重器	起重葫蘆；提升卷揚機
弔重機構	起升機構
弔索	起重索
保溫爐	保溫爐
保持時間	保持時間
孔	孔
空心輪葉	空心葉片
全像攝影	全息攝影術
搪光	珩磨
搪光機	珩磨機
座艙罩	機罩
鉤	鈎形挂鈎
短程飛行	跳動
漏鬥	料鬥
泥艙容量	料鬥容量
水平輻散	水平發散度
臥式鑽床	臥式鑽床
臥式動力機	臥式發動機
水平面誤差	水平誤差
臥式泵	臥式泵
水平對置發動機	水平對置發動機
號角形進模口	牛角式澆口
熱風熔鐵爐	熱風沖天爐
熱匣法	熱芯盒法
熱球式發動機	熱球點燃式發動機
熱裂	熱裂紋
熱擠	熱擠
熱鍛	熱鍛
熱壓	熱等靜壓制
高熱點	過熱區
熱起動	熱態起動
熱水鍋爐	熱水鍋爐
熱井	熱井
熱作	熱成形
殼	機殼
溼空氣	濕空氣
增濕器	加濕器；濕化器
調濕器	恒濕器
追逐	遊車
水力貯蓄器	液壓蓄能器
液壓致動器	液壓執行元件；液動執行機構
液形夾頭	液壓卡盤
液壓離合器	液壓離合器
液壓聯結器	液力聯軸器
液壓起重機	液壓起重機
液壓缸	液壓缸
水力效率	液力效率
液壓型成	液壓成形
水力調速器	液壓調速器
液力鎚	液壓錘
液壓千斤頂	液壓千斤頂；液壓頂
液壓升降機	液壓電梯
液壓鎖	液力鎖緊
管道水頭損失	液力損失
液壓機械	水力機械
液壓馬達	液壓馬達
液壓機	液壓機
液壓泵	液壓泵
液力鑿岩機	液壓鑿岩機
碳氫化合物	碳氫化合物
液體動力軸承	液體動壓軸承
液動力傳動	液力傳動裝置；液力變速器
氫脆化	氫脆
流體機械裝置	液力機械元件
水漂現象	滑水效應
液體靜力軸承	液體靜壓軸承
水力擠壓	靜液擠壓
兩腳式水平儀	液體靜力水準儀
液壓測試	水壓試驗
濕度計	濕度計
內燼	內擺線
戟齒輪	準雙曲面齒輪
遲滯性	回差
遲滯環	遲滯回線
空轉衝程	空行程
空轉時間	惰走時間；惰轉時間
惰輪	托輥
空轉	怠速
點火器	點火器
點火	點火
點火感應圈	點火線圈
點火控制	點火控制
點火能	點火能量
點火定時	點火正時；點火定時
照度	照度
照明	照明
像	像
浸入試驗	全浸試驗
衝擊	碰撞
衝擊軋碎機	沖擊破碎機
衝擊力	碰撞力
衝擊抗力	耐沖擊性
動葉輪	泵輪；葉輪
浸漬劑	浸滲劑
浸漬	滲補；浸漬
脈衝	沖量
脈衝響應	脈沖響應
衝動輪級	沖動級
衝動式汽輪機	沖動式汽輪機
衝動式輪機	沖動式透平；沖擊式水輪機
衝力	沖力
白熱電燈	白熾燈
投射	沖角
斜置動力機	斜置式發動機
熱傳導壓力計	傾斜壓力計
傾側試驗	傾斜測試
不完全螺紋	不完整螺紋
水垢	結垢
壓痕	壓痕
單動夾頭	單動卡盤
獨立式動力分導裝置	獨立式動力輸出軸
分度	轉位
指示功率	指示功率
指示熱效率	指示熱效率
指示值	指示值
指示功	指示功
指示器	指示器
指示計器	指示儀器儀表
指示器圖表	示功圖
抽氣通風	負壓通風
導流片	導流輪
感應硬焊	感應硬釺焊
感應硬化	感應加熱淬火
感應加熱	感應加熱
工業用曳引機	工業拖拉機
非彈性衝擊	非彈性碰撞
慣性煞車	慣性制動器
慣性力偶	慣性力偶矩
慣性調速器	慣性調速器
慣性張量	慣性張量
滲透	熔浸
拐點	拐點
進模口	內澆道
初負載	初始負荷
初透磁率	起始磁導率
初壓力	初始壓力
起始速率	初始轉速
初張力，初拉力	初拉力
噴射室	壓射室
噴射噴嘴	噴油嘴
噴射次序	噴油次序
噴射壓力	噴油壓力
噴射定時	噴油正時
射水器	注水器
入口	入口
進氣岐管	進氣歧管
進氣管	進氣總管
進氣口	進油孔
進氣壓力	進氣壓力；進口壓力
進入溫度	進氣溫度；進口溫度
進入溫度	進氣溫度
直列引擎	直列式發動機
內殼	內護板；內氣缸
內燃燒筒	內襯層
內環	內圈
內蝸線角	小端螺旋角
內管	內胎
輸入桿	輸入構件
輸入信號	輸入信號
輸入扭矩	輸入轉矩
檢查	檢視；檢測
裝置	裝聯
裝置圖	安裝圖
暫態軸線	瞬時軸
瞬時螺旋軸線	瞬時螺旋軸
儀表板	儀表板；儀表盤
絕緣材料	絕緣物
截斷閥	再熱調節汽閥
中間冷卻器	級間冷卻器；中間冷卻器
幹涉	過盈；幹擾
幹涉濾光器	幹涉濾光片
幹涉配合	過盈配合
幹涉光柵	幹涉條紋
幹涉顯微鏡	幹涉顯微鏡
幹涉計	幹涉儀
內定型擠壓法	幹涉量度學
粒間腐蝕	晶間腐蝕
聯鎖	聯鎖
中心板	中間壓盤
間歇熔接	斷續焊
內面拉床	內拉床
內部冷激	內冷鐵
內燃機	內燃機
內齒輪	內齒輪
內磨床	內圓磨床
內分釐卡	內徑千分尺
內部功率	內功率
內部振動機	內置式振動器
內插法	插補
斷續切削	斷續切削
分段淬火	雙介質淬火
本質黏度	固有黏度
倒缸發動機	倒置式發動機
倒齒鏈	齒形鏈
變流器	逆變器
包模鑄造法	熔模鑄造
漸開線	漸開線
漸開線螺旋面	漸開螺旋面
熨平	變薄拉深
等熵效率	等熵效率
隔離器	隔離器；隔離室
等溫退火	等溫退火
等方性	各向同性
起重機	插口；千斤頂
顎夾	卡爪
顎夾離合器	牙嵌離合器
顎夾扳	鉗口板
噴射凝結器	噴射式凝汽器
噴射泵	射流泵
寶石軸承	寶石軸承
伸梁	臂架
震動造模機	振實造型機
震搗	振實
軸頸	軸頸
頸軸承	支持軸承
豎鍛	跳躍
鋸口	切口
鍵	鍵
鍵槽	鍵槽
鍵盤	鍵盤
運動鏈	運動鏈
運動對	運動副
運動相似性	運動相似
運動黏度	運動黏度
動摩擦	動摩擦
大王銷傾斜角	立軸內傾角
把手	把手
曲徑填函	曲徑汽封
繫索	拉筋
快乾漆	亮漆膜
塗清漆	漆膜
澆鬥	澆包
澆桶起重機	鑄造起重機
包層	保溫層
層狀組織	層狀組織
疊板磁鐵	積層磁鐵
刀鋒背	封油面
降落	層站
餘面	研磨模
搭接	搭接接頭
搭接	研磨
雷射	激光；激光器
雷射電阻銲接	激光焊
雷射偵距儀	激光測距
雷射修整	激光微調
雷射武器	激光武器
閂鎖搭扣	掣子
橫向穩定性	側向穩定性
橫向速度	橫向速度
橫向振動	彎振
層	焊層
層狀腐蝕	層間腐蝕
引線	導程
導程角	螺紋升角；導程角
前緣	葉片進水邊；前緣
板片彈簧	板彈簧
漏洩	漏孔
偵漏器	檢漏儀
洩漏	泄漏；滲漏量
漏洩損失	泄漏損失；漏汽損失
貧油混合氣	稀混合氣
皮帶	皮革平帶
離去速度	余速
粒滴斑鐵	萊氏體
腳	支腿
透鏡	配光鏡
字法	字體
水平	水準儀
水位指示器	水準器
調平	平層
桿滑車	手扳葫蘆
蓋子	篩蓋
提升止回閥	升降式止回閥
升力係數	升力係數
升降運送車	起升車輛
升降梯	電梯
弔梁	起重橫梁
舉重能量	舉升能力
圓形環首螺栓	吊環螺釘
弔鉤	起重吊鈎
升程時間	提升時間
避雷針	避雷針
避雷器	限位器
限幅器	限制器
極限摩擦力，靜摩擦限界	極限摩擦
極限溫度	極限溫度
極限值	限值
線	圖線
接觸線	接觸線
線性內插法	直線插補
線性馬達	直線電動機
線性	線性度
加襯板	襯墊
連桿	構件
鏈板	鏈板
連桿接點	鉸接點
連桿組	低副運動鏈；懸挂裝置
連桿機構	連杆機構
液化天然氣	液化天然氣
液化器	液化器
液態空氣	液空
液柱壓力計	液柱壓力計
液冷	液體冷卻
液氦	液氦
液氮	液氮
液氧	液氧
活動頂尖	回轉頂尖
負載	負載；負荷
負載因數	載荷係數
載重試驗	負荷試驗；帶負荷試驗；負載試驗
裝載機	裝載機；裝載裝置
負載	上料
泥沙漿	爛泥砂
泥沙模	爛泥砂型
鎖緊裝置	制動裝置
縱鼓筒式鍋爐	縱鍋筒鍋爐
縱向速度	縱向速度
縱向振動	縱向振動
環狀驅氣	回流掃氣
環封	回料控制閥
鬆套凸緣	活套法蘭
無效運動	空程
響度	響度
音響強度	響度級
低膨脹合金	低膨脹合金
低週疲勞	低周疲勞斷裂
下偏差	下偏差
低對	低副
潤滑劑	潤滑劑
潤滑柱塞閥	油封式旋塞閥
潤滑油消耗量	機油消耗量
潤滑油過濾器	機油濾清器
潤滑油泵	機油泵
潤滑油箱	機油箱
潤滑	潤滑
潤滑係統	潤滑係統；潤滑油係統
潤滑器	潤滑器
失速	失速
光度	亮度
發光通量	光通量
發光強度	發光強度
機械	機器
機械造模	機器造型
機力絞刀	機用鉸刀
機器間	機房
機具	機床
機械老虎鉗	機用虎鉗
機製	機械
輪機室	機械設備室
機製	機械加工
切削裕度	加工余量
切削機	加工中心
電磁起重機	電磁起重機
磁方位	磁力軸承
磁力夾頭	吸盤
磁筒	磁力分離滾筒
磁滯	磁滯
磁透鏡	磁透鏡
磁選機，磁力分離器	磁力分離設備
磁化	磁化強度
磁化曲線	磁化曲線
磁強（力）計	磁強計
磁效伸縮	磁致伸縮
主軸承	主軸承
主船體	車身本體
主接點	主接觸件
主控閥	主控制閥
主驅動	中央傳動
主樑	主梁
主軸	第二軸
總汽管	主蒸汽管
主停止閥	主汽閥
主閥	主閥
維護度	維修性；維修保養方便性
維護	維修
螺釘大徑	大徑
大翻修	大修
補給水	補給水
密位（千分之一吋）	故障燈；故障指示燈
展性鑄鐵	可鍛鑄鐵
載人吊運車	帶司機室小車
歧管	分流管
自動操作機	焊接操作機；操縱器
人機作業係統	人機通信
人力煞車	人力制動器
手動控制	手動控制；人爲控制
手動熔接	手工焊
手動操縱閥	手動閥
製程	工藝過程
麻時效鋼	馬氏體時效鋼
邊界	邊寬
船用汽輪機	船用汽輪機
標識燈	示廓燈
麻回火法	分級淬火
麻田散體	馬氏體
質譜儀	質譜計
質量速度	質量流速
桅桿	導軌架
母合金	中間合金
主連桿	主連杆
主量具	校對量規
模型	母模
模型板	雙面模板
材料試驗機	材料試驗機
矩陣	凹模；蓄熱體
最大容量	最大稱量；最大起重量
最大餘隙	最大間隙
最大連續功率	最大連續功率
最大坡度	最大爬坡度
最大緊度	最大過盈
最大負載	最大載荷
最多留料情況	最大實體狀態
最大範圍	最大變幅距離
最大速率	最高轉速；最高車速
最大應變	最大應變
最大應力	最大應力
最大扭矩	最大轉矩；最大扭矩
最大工作壓力	最大工作壓力
平均有效壓力	平均有效壓力
平均自由徑	平均自由程
平均指示壓力	平均指示壓力
平均壽命	平均壽命
平均活塞速度	活塞平均速度
平均速率	平均速度
平均應力	平均應力
測量值	被測值
度量	測量
測定誤差	測量誤差
測量用電橋	測量電橋
測量儀器	測量儀器儀表；檢測儀表
測定範圍	測量範圍
測定工具	量具
測定單位	測量單元
機械利益	機械效益
機械清掃	機械清洗
機械驅動	機械傳動
機械效率	機械效率
機械工程	機械工程
機械進給	機動進給
機械調速器	機械調速器
機械阻抗	機械阻抗
機械噴射	機械噴射
機械損失	機械損失
機械速度響應	機械導納
機力壓機	機械壓力機
機械性質	力學性能
機械軸封	機械密封
機械陡震	機械沖擊
機械係統	機械係統
機械傳動	機械式變速器
機械振動	機械振動
機構	機構
介質	介質
熔化	熔煉
膜過濾器	薄膜空氣過濾器
金屬鑄模	金屬型
金屬模型	金屬模
金屬滲透	機械黏砂
金屬噴敷	金屬噴塗
金屬塗層	金屬塗層
冶金用顯微鏡	金相顯微鏡
計量	計量
計量裝置	計量裝置
甲烷	甲烷
甲醇	甲醇
微量分析	微量分析
測微計	千分尺；測微表；測微尺
測微光度器	測微光度計
顯微鏡學	顯微術
銑	銑削
銑刀	銑刀
銑頭	銑頭
銑床	銑床
最小餘隙	最小間隙
最小操縱速率	最低控制速度
最小緊度	最小過盈
最小迴轉半徑	最小轉向半徑；最小轉彎半徑
小徑	小徑
鏡	反射鏡
不發火	失火
配合不當	疊差
任務剖面	任務剖面
油霧潤滑	油霧潤滑
混合機	混合器；攪拌器
混合	混合
混合凝結器	混合式凝汽器
移動式起重機	流動式起重機
可動性	遷移率
型	工況
模態	振型；振形
模型	模型
模型試驗	模型試驗
模組	模數
脫水器	去濕裝置
模具	鑄型
模穴	型腔
模痕	模具痕迹
模造	造型
造模材料	造型材料
模砂	型砂
分子流	分子流
力矩	力矩
力偶矩	力偶矩
慣性矩	轉動慣量
監視	監視；監測
泥漿混合機	灰漿攪拌機
動暈症	暈車
機動車輛	汽車
斑鑄鐵	麻口鑄鐵
裝配距離	安裝距
移動支點	可動支承
運動軸線面	動瞬軸面
運動極心線	動瞬心線
擋泥板	擋泥板
多種燃料引擎	多種燃料發動機
多層銲法	多層焊
萬用電表	萬用電表
多道銲法	多道焊
多板離合器	多盤離合器
多級壓縮機	多級壓縮機
多段泵	多級泵
蕈形閥	盤形閥
短艙（發動機）	機艙
旋葉輪機	軸流定槳式水輪機
窄縫銲法	窄間隙焊
自然循環鍋爐	自然循環鍋爐
自然通風	自然通風
固有頻率	固有頻率
天然氣動力機	天然氣發動機
天然氣	天然氣
製頸	壓肩；縮口
針	指針；噴針
針閥升程	針閥升程
滾針	滾針
針閥	針形閥
淨落差	淨水頭
淨耗熱率	淨熱耗率
淨載重	淨起重量
淨有效吸水頭	汽蝕余量
淨功率	淨電功率
全波長濾光器	中性濾光片
中性穩定	中性穩定性
牛頓流體	牛頓流體
鎳-鎘電池	鎳镉蓄電池
氮化物	氮化物
噪音	噪聲
噪音級	噪聲水平
無負載速率	空載轉速
空載試驗	空載試驗；空負荷試驗
標稱直徑	公稱直徑；公稱通徑
不凝結氣體	非可凝性氣體
非破壞試驗	無損檢驗
非牛頓式流體	非牛頓流體
法螺旋線	法向螺旋線
法面模數	法向模數
法節	法向齒距
法平面	法平面
法向壓力角	法向壓力角
正常化	正火
力尖角	蝸殼包角
鼻錐	防風錐；導流罩
凸部	折焰角
噴嘴	噴嘴；噴油嘴
噴嘴室	噴嘴室
核狀沸騰	核態沸騰
成核	成核
齒數	齒數
螺帽	螺母
物鏡	物鏡
斜投影	斜投影
障礙物	障礙物
倍頻帶	倍頻程
接目鏡	目鏡
偏位	偏置距；錯移
歐姆表	電阻表
油霧化器	油霧化器
油壓煞車	油制動
燃油器	油燃燒器
滑油控制環	油環
冷油器	機油冷卻器；冷油器
油導管	油道
濾油器	濾油器
油溝	油槽
油淬火	油冷淬火
油孔	油孔
油壓機	油壓機
承油盤	油底殼
油壓洩放閥	機油安全閥
淨油器	油淨化器；濾油器
